carrier,year,arr_flights,arr_del15,arr_cancelled,arr_diverted,onTime
AA,2003,309712.0,60722.0,5158.0,821.0,0.803940434985
AS,2003,55419.0,9848.0,736.0,83.0,0.822299211462
B6,2003,26675.0,3567.0,64.0,77.0,0.866279287723
CO,2003,138611.0,26329.0,1052.0,406.0,0.810051150342
DH,2003,78441.0,15092.0,2736.0,211.0,0.807600617024
DL,2003,267529.0,47922.0,2738.0,463.0,0.820871755959
EV,2003,173326.0,34114.0,3944.0,558.0,0.803180134544
FL,2003,66252.0,14331.0,644.0,111.0,0.783689548995
HA,2003,645.0,202.0,0.0,0.0,0.686821705426
HP,2003,89743.0,14585.0,778.0,140.0,0.837480360585
MQ,2003,141974.0,25554.0,4543.0,196.0,0.820009297477
NW,2003,196793.0,31483.0,2622.0,315.0,0.840019716148
OO,2003,130967.0,14914.0,2096.0,49.0,0.886123985431
TZ,2003,33846.0,6094.0,373.0,28.0,0.819949181587
UA,2003,265570.0,44876.0,2713.0,498.0,0.831020070038
US,2003,166652.0,32277.0,2547.0,325.0,0.806320956244
WN,2003,257316.0,32771.0,2629.0,566.0,0.872642975952
